66	2012-10-08 21:56:39
45	2012-10-01 20:06:58
64	2012-09-23 11:34:58
60	2012-09-06 21:09:36
58	2012-09-02 15:43:07
57	2012-09-02 11:50:53
51	2012-08-07 19:30:31
48	2012-07-29 20:41:06
47	2012-07-29 20:10:12
44	2012-07-22 00:06:21
40	2012-07-07 16:08:19
38	2012-06-30 00:28:38
37	2012-06-25 20:52:48
30	2012-06-24 22:11:38
35	2012-06-20 22:11:43
26	2012-05-15 20:10:53
18	2012-05-13 00:00:00
16	2012-05-13 00:00:00
15	2012-05-13 00:00:00
11	2012-05-13 00:00:00
8	2012-05-13 00:00:00
5	2012-05-13 00:00:00
4	2012-05-13 00:00:00
3	2012-05-13 00:00:00
