69	2012-10-31 20:07:12
19	2012-10-22 22:17:42
68	2012-10-21 15:20:07
67	2012-10-14 16:12:07
65	2012-10-07 21:12:07
62	2012-09-16 13:27:46
61	2012-09-08 17:32:07
59	2012-09-05 21:24:13
56	2012-08-28 22:49:07
7	2012-08-23 23:07:24
34	2012-08-23 18:55:04
54	2012-08-21 19:27:14
53	2012-08-11 00:22:30
52	2012-08-08 21:53:55
50	2012-08-05 22:06:13
49	2012-07-30 21:39:23
46	2012-07-24 22:03:04
43	2012-07-21 10:38:04
42	2012-07-17 22:16:12
41	2012-07-14 12:04:10
39	2012-06-30 12:40:32
36	2012-06-22 16:35:35
33	2012-06-08 23:05:02
32	2012-06-02 23:59:06
29	2012-05-25 13:57:28
28	2012-05-21 20:56:12
27	2012-05-19 14:01:51
24	2012-05-14 19:14:19
22	2012-05-13 00:00:00
14	2012-05-13 00:00:00
13	2012-05-13 00:00:00
10	2012-05-13 00:00:00
1	2012-05-13 00:00:00
